Date,lecture,id,country,country_lecture,IFrage1,IFrage2,IFrage3,IFrage4,lotterie1,lotterie2,lotterie3,lotterie4,lotterie5,lotterie6,lotterie7,lotterie8,lotterie9,lotterie10,II1,II2,II3,II4,II5,II6,II7,II8,II9,II10,II11,II12a,II12b,II13,II14,II15,II16,II17,II18,II19,age,gender,studienfach,category.major,nationalitt,category.nat,kultur,andere_kultur,category.culture,cl.culture,Africa,Anglo,Germanic,L.America,L.Europe,E.Europe,Asia,M.East,theta9,theta10,theta,logtheta,riskless_i,risk_d,implicit_i_1year,implicit_i_10year,beta,delta,native.dummy,Econ.dummy,East.West,North.South,GDPcapita,logGDPcapita,inflation.07,real.growthrate.07,Loggrowthrate,Lehman_dummy,GINI_Index,RRP_gains,RRP_loss,strictly_admissible,strictly_nonadmissible,strictly_admissible_dummy,weakly_admissible,weakly_nonadmissible,weakly_admissible_dummy
NA,Peking,CN1,China,China         _Peking,1,400,10000,0,20,4,10,100,2,10,40,40,104,5000,1,2,2,2,2,2,2,3,2,2,4,3,4,2,2,3,3,2,4,4,19,1,Statistics,Eco,China-Ningxia,China,China,,China,Asia,0,0,0,0,0,0,1,0,4.16,50,27.08,1.43264866001311,0.429969148308729,1.79726314706225,3,0.584893192461113,0.357492287,0.699315787,1,1,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.890684778184778,-0.25,1,NA,1,1,NA,1
NA,Peking,CN10,China,China         _Peking,1,300,3000,0,20,10,20,200,10,100,40,40,37.44,300,3,2,1,2,3,3,1,3,1,3,3,3,4,2,3,2,3,5,2,5,21,0,Statistics,Eco,China-Beijing,China,China,,China,Asia,0,0,0,0,0,0,1,0,1.4975999999999998,3,2.2488,0.351950832599384,0.291549665014884,1.32279104804338,2,0.405115826483646,0.430516555,0.774263683,1,1,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.656888481888482,-0.25,1,NA,1,1,NA,1
2008-03-20,Wuhan,CN100,China,China         _Wuhan,0,2000,500000,0,10,10,16,2000,20,100,0,0,208,2000,3,2,2,3,3,4,3,4,3,5,4,3,4,3,2,2,4,2,1,1,20,1,automation,Science,China-Hubei,China,,,"NA",other,0,0,0,0,0,0,0,0,8.32,20,14.16,1.15106325335375,0.846876174479757,9.82909632836309,19,1.3436729115921,0.092343809,0.541454816,1,0,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.465944240944241,-1,NA,1,0,1,NA,1
2008-03-20,Wuhan,CN101,China,China         _Wuhan,1,200,1000,0,20,4,100,200,0,4,4,4,249.6,200,2,2,3,2,2,2,3,1,2,2,4,3,4,2,2,2,3,5,4,2,21,1,automation,Science,China-Henan,China,,,"NA",other,0,0,0,0,0,0,0,0,9.984,2,5.992,0.77757180469141,0.195813174500402,0.672502061900747,1,0.258925411794167,0.597906587,0.836251031,1,0,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.758740333740334,-0.925,NA,1,0,1,NA,1
2008-03-20,Wuhan,CN102,China,China         _Wuhan,1,200,1000,1,50,40,60,5000,0,200,40,40,49.92,200,3,1,1,4,2,3,3,2,3,3,2,2,3,NA,3,1,5,4,4,4,20,1,automation,Science,China-Hainan,China,,,"NA",other,0,0,0,0,0,0,0,0,1.9968000000000001,2,1.9984000000000002,0.30068242103006,0.195813174500402,0.672502061900747,1,0.258925411794167,0.597906587,0.836251031,1,0,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.408424908424908,-0.25,NA,1,0,1,NA,1
2008-03-20,Wuhan,CN103,China,China         _Wuhan,1,2000,200000,0,50,60,40,2000,10,100,20,20,24.96,100,2,2,3,3,3,4,3,3,3,2,3,4,4,3,2,2,3,1,3,2,21,1,automation,Science,China-Hubei,China,,,"NA",other,0,0,0,0,0,0,0,0,0.9984000000000001,1,0.9992000000000001,-3.4757463392086e-4,0.668100537200059,10.9896850063788,19,1.13846919998238,0.083405027,0.59948425,1,0,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.376017501017501,-0.625,1,NA,1,1,NA,1
2008-03-20,Wuhan,CN104,China,China         _Wuhan,0,960,20000,1,60,40,50,2000,10,60,30,40,62.4,300,2,3,2,2,2,3,3,3,2,2,3,3,4,3,2,2,4,2,3,3,21,1,automation,Science,China-Shandon,China,,,"NA",other,0,0,0,0,0,0,0,0,2.496,3,2.748,0.439016728387513,0.401292350998035,5.85081881247881,8.6,0.698646464634247,0.145967953,0.71362696,1,0,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.422517297517298,-0.354166666666667,1,NA,1,1,NA,1
2008-03-20,Wuhan,CN105,China,China         _Wuhan,0,1000,100000,1,10,4,6,100,0,6,4,4,208,400,1,2,3,3,3,3,4,3,3,3,3,2,4,2,2,2,2,2,3,4,21,1,automation,Science,China-Gansu,China,,,"NA",other,0,0,0,0,0,0,0,0,8.32,4,6.16,0.789580712164426,0.668100537200059,4.99484250318941,9,0.99526231496888,0.166810054,0.59948425,1,0,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.952518315018315,-0.925,NA,1,0,1,NA,1
2008-03-20,Wuhan,CN106,China,China         _Wuhan,1,365,365000,0,NA,100,NA,1000,0,400,80,100,49.92,200,1,2,3,3,2,4,3,2,2,4,3,3,3,4,2,4,4,4,4,4,21,1,automation,Science,China-Zhejian,China,,,"NA",other,0,0,0,0,0,0,0,0,1.9968000000000001,2,1.9984000000000002,0.30068242103006,1.15443469003188,0.694179924268664,2.65,1.27106354695331,0.590256079,0.464158883,1,0,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,NA,0.666666666666667,NA,1,0,NA,NA,NA
2008-03-20,Wuhan,CN107,China,China         _Wuhan,0,200,12000,0,20,60,90,6000,10,240,48,60,27.04,102,3,3,3,4,2,5,4,4,2,3,3,4,5,2,3,2,4,2,4,4,20,1,automation,Science,China-Hubei,China,,,"NA",other,0,0,0,0,0,0,0,0,1.0816,1.02,1.0508,0.0215200641140327,0.576058600149237,0.268988348409519,1,0.614054238462064,0.7880293,0.634494174,1,0,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.13003663003663,0,1,NA,1,1,NA,1
2008-03-20,Wuhan,CN108,China,China         _Wuhan,0,400,10000,0,20,10,16,200,2,40,20,30,24.96,100,4,1,2,2,3,3,3,3,3,2,3,3,4,3,2,2,4,2,4,4,23,1,automation,Science,China-Hubei,China,,,"NA",other,0,0,0,0,0,0,0,0,0.9984000000000001,1,0.9992000000000001,-3.4757463392086e-4,0.429969148308729,1.79726314706225,3,0.584893192461113,0.357492287,0.699315787,1,0,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.839295889295889,-0.541666666666667,1,NA,1,1,NA,1
2008-03-20,Wuhan,CN109,China,China         _Wuhan,1,300,1000,1,20,8,12,20,4,8,4,2,24.96,200,2,2,2,3,2,4,2,3,1,4,3,3,4,3,2,2,1,3,4,3,22,1,automation,Science,China-Hubei,China,,,"NA",other,0,0,0,0,0,0,0,0,0.9984000000000001,2,1.4992,0.175859573543703,0.143135306316537,1.6243612487718,2,0.258925411794167,0.381045102,0.874787083,1,0,NA,NA,5325,1.672412712,1.5,11.4,1.056904851,0,41.5,0.846147741147741,-0.941666666666667,1,NA,1,1,NA,1
