prov,Beta,Theta,RRPgains,RRPloss
Anhui,0.8823529411764706,2.7019607985720904,0.5854575226412095,-0.6362745130763332
Beijing,0.47368421052631576,2.373333311198573,0.3780701758438033,-0.4941520436764939
Chongqing,0.6551724137931034,2.543908071929011,-0.06886969763657083,-0.6568965536767037
Fujian,0.7222222222222222,2.6777777936723486,0.4266975368890494,-0.5487654308478036
Gansu,0.625,3.208333402872084,-0.029861126095056856,-0.42361112404614665
Guangdong,0.6078431372549019,4.026666668992416,-3.4187905117869306,-0.52080610262997
Guangxi,0.7142857142857143,2.492063502470651,-0.6431217818033153,-0.552910058271317
Guizhou,0.3333333333333333,8.833333333333334,0.7712963024775183,-0.6805555522441862
Hainan,0.5789473684210527,5.056140403998524,0.6331871308778457,-0.7049707614228521
Hebei,0.7142857142857143,7.476190413747514,-4.195634960063863,0.8134920916387011
Heilongjiang,0.6,0.839999985694884,0.8216666460037227,-0.8222222179174422
Henan,0.7083333333333334,2.6650000294515235,0.5666666676600771,-0.4902777792885897
Hubei,0.5972222222222222,3.1338889080927603,-1.9901619282965004,-0.36195987684186554
Hunan,0.6521739130434783,2.587246363861082,-0.015519330682962415,-0.46582125661813695
Inner Mongolia,0.6666666666666666,2.88888883590698,0.23148149251937833,-0.5370370472470917
Jiangsu,0.7297297297297297,1.6306306252608425,-0.016891845174737227,-0.06246246679409199
Jiangxi,0.717391304347826,1.717970993977201,0.07246372063198812,-0.4857487879673263
Jilin,0.8,2.733333349227906,0.8383333206176754,-0.5611111238598822
Liaoning,0.5,5.222222328186033,0.64537035425504,-0.7685185273488362
Ningxia,1,1.333333293596902,0.49999998758236536,-0.38888889551162703
Shandong,0.6470588235294118,3.8272549131720814,-0.3470997078453794,0.28954245248699745
Shanghai,0.6666666666666666,3.5000000794728616,0.81851851940155,-0.620370374371608
Shanxi,0.6875,3.57083336263895,0.43159722164273234,-0.47916667489334924
Sichuan,0.7727272727272727,2.297575766390019,-12.460858268155304,-0.45202020894397366
Tianjin,0.75,0.84999996423721,-1.0833332911133753,-0.5416666716337203
Xinjiang,1,1.1333332856496134,0.694444437821706,-0.6759259253740306
Yunnan,0.8,1.919999980926513,0.6055555626749988,-0.3900000065565108
Zhejiang,0.6481481481481481,3.0338271732131625,0.31707818992435916,-0.4780864255433832
