prov,RRP_gains,RRP_loss
Anhui,0.7143162443087645,-0.7948717921972273
Beijing,0.6023809513343229,-0.7182539654563046
Chongqing,0.6878306879883718,-0.7616402159134545
Fujian,0.7180555582046503,-0.8599999889731406
Gansu,0.42361112684011426,-0.5833333432674406
Guangdong,0.6784050181027378,-0.7779569866195799
Guangxi,0.7621212059801271,-0.7323232347315006
Guizhou,0.9222222268581385,-0.9097222089767453
Hainan,0.813148140907287,-0.8077777759172021
Hebei,0.7619047462940213,-0.5793650788920263
Heilongjiang,0.8216666460037227,-0.8222222179174422
Henan,0.7611111104488368,-0.679084966287893
Hubei,0.7141534369438883,-0.662830695221644
Hunan,0.6829365098050658,-0.7107142939099241
Inner Mongolia,0.7499999999999996,-0.8611111044883726
Jiangsu,0.7280982962021455,-0.8111111097610912
Jiangxi,0.7468253947794433,-0.789206347973751
Jilin,0.8416666587193803,-0.9722222288449603
Liaoning,0.8911110997200006,-0.7222222328186034
Ningxia,0.708333313465118,-0.5833333432674406
Shandong,0.733648989688266,-0.745328285477378
Shanghai,0.7986111044883725,-0.9583333283662795
Shanxi,0.7858024703131776,-0.6790123515658907
Sichuan,0.5231481542189913,-0.6250000086923437
Tianjin,0.333333343267441,-0.444444477558136
Xinjiang,0.694444437821706,-0.6759259253740306
Yunnan,0.7361111193895336,-0.6527777723968025
Zhejiang,0.7011574092838495,-0.667746914240221
